Dataset,Prediction Length,MSE,MAE,model,source,ci_cd,model_source
Weather,192,0.208,0.248,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Weather,336,0.263,0.29,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Weather,720,0.34,0.341,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Weather,Avg,0.243,0.271,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Traffic,96,0.41,0.274,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Traffic,192,0.43,0.28,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Traffic,336,0.449,0.29,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Traffic,720,0.486,0.309,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Traffic,Avg,0.444,0.289,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Exchange,96,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Exchange,192,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Exchange,336,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Exchange,720,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Exchange,Avg,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
ILI,24,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
ILI,36,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
ILI,48,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
ILI,60,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
ILI,Avg,,,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Solar-Energy,96,0.163,0.232,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Solar-Energy,192,0.182,0.247,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Solar-Energy,336,0.193,0.257,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Solar-Energy,720,0.199,0.252,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
Solar-Energy,Avg,0.184,0.247,SimpleTM,chen2025_simpletm,CD,SimpleTM (chen2025_simpletm)
ETTm1,96,0.31,0.334,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm1,192,0.348,0.362,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm1,336,0.376,0.391,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm1,720,0.44,0.423,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm1,Avg,0.369,0.378,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm2,96,0.17,0.245,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm2,192,0.229,0.291,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm2,336,0.303,0.343,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm2,720,0.373,0.399,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm2,Avg,0.269,0.32,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh1,96,0.361,0.403,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh1,192,0.416,0.441,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh1,336,0.43,0.434,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh1,720,0.467,0.451,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh1,Avg,0.419,0.432,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh2,96,0.276,0.328,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh2,192,0.342,0.379,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh2,336,0.346,0.398,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh2,720,0.392,0.415,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTh2,Avg,0.339,0.38,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Electricity,96,0.135,0.222,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Electricity,192,0.147,0.235,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Electricity,336,0.164,0.245,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Electricity,720,0.212,0.31,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Electricity,Avg,0.165,0.253,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Weather,96,0.155,0.205,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Weather,192,0.201,0.245,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Weather,336,0.237,0.265,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Weather,720,0.312,0.334,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Weather,Avg,0.226,0.262,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Traffic,96,0.392,0.253,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Traffic,192,0.402,0.258,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Traffic,336,0.428,0.263,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Traffic,720,0.441,0.282,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Traffic,Avg,0.416,0.264,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Exchange,96,0.085,0.214,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Exchange,192,0.175,0.313,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Exchange,336,0.316,0.42,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Exchange,720,0.851,0.689,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Exchange,Avg,0.357,0.391,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ILI,24,,,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ILI,36,,,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ILI,48,,,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ILI,60,,,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ILI,Avg,,,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Solar-Energy,96,0.171,0.231,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Solar-Energy,192,0.218,0.263,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Solar-Energy,336,0.212,0.269,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Solar-Energy,720,0.212,0.27,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
Solar-Energy,Avg,0.203,0.238,TimeMixer++,wang2025_timemixer,CD,TimeMixer++ (wang2025_timemixer)
ETTm1,96,0.32,0.357,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm1,192,0.361,0.381,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm1,336,0.39,0.404,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm1,720,0.454,0.441,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm1,Avg,0.381,0.395,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm2,96,0.175,0.258,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm2,192,0.237,0.299,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm2,336,0.298,0.34,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm2,720,0.391,0.396,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm2,Avg,0.275,0.323,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh1,96,0.375,0.4,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh1,192,0.429,0.421,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh1,336,0.484,0.458,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh1,720,0.498,0.482,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh1,Avg,0.447,0.44,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh2,96,0.289,0.341,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh2,192,0.372,0.392,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh2,336,0.386,0.414,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh2,720,0.412,0.434,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTh2,Avg,0.364,0.395,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Electricity,96,0.153,0.247,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Electricity,192,0.166,0.256,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Electricity,336,0.185,0.277,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Electricity,720,0.225,0.31,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Electricity,Avg,0.182,0.272,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Weather,96,0.163,0.209,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Weather,192,0.208,0.25,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Weather,336,0.251,0.287,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Weather,720,0.339,0.341,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Weather,Avg,0.24,0.271,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Traffic,96,0.462,0.285,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Traffic,192,0.473,0.296,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Traffic,336,0.498,0.296,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Traffic,720,0.506,0.313,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Traffic,Avg,0.484,0.297,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Exchange,96,0.09,0.235,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Exchange,192,0.187,0.343,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Exchange,336,0.353,0.473,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Exchange,720,0.934,0.761,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Exchange,Avg,0.391,0.453,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ILI,24,,,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ILI,36,,,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ILI,48,,,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ILI,60,,,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ILI,Avg,,,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Solar-Energy,96,0.189,0.259,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Solar-Energy,192,0.222,0.283,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Solar-Energy,336,0.231,0.292,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Solar-Energy,720,0.223,0.285,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
Solar-Energy,Avg,0.216,0.28,TimeMixer,wang2025_timemixer,CD,TimeMixer (wang2025_timemixer)
ETTm1,96,0.334,0.368,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm1,192,0.39,0.393,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm1,336,0.426,0.42,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm1,720,0.491,0.459,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm1,Avg,0.407,0.41,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm2,96,0.18,0.264,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm2,192,0.25,0.309,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm2,336,0.311,0.348,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm2,720,0.412,0.407,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm2,Avg,0.288,0.332,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh1,96,0.386,0.405,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh1,192,0.441,0.512,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh1,336,0.487,0.458,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh1,720,0.503,0.491,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh1,Avg,0.454,0.447,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh2,96,0.297,0.349,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh2,192,0.38,0.4,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh2,336,0.428,0.432,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh2,720,0.427,0.445,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTh2,Avg,0.383,0.407,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Electricity,96,0.148,0.24,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Electricity,192,0.162,0.253,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Electricity,336,0.178,0.269,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Electricity,720,0.225,0.317,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Electricity,Avg,0.178,0.27,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Weather,96,0.174,0.214,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Weather,192,0.221,0.254,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Weather,336,0.278,0.296,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Weather,720,0.358,0.347,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Weather,Avg,0.258,0.278,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Traffic,96,0.395,0.268,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Traffic,192,0.417,0.276,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Traffic,336,0.433,0.283,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Traffic,720,0.467,0.302,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Traffic,Avg,0.428,0.282,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Exchange,96,0.086,0.206,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Exchange,192,0.177,0.299,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Exchange,336,0.331,0.417,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Exchange,720,0.847,0.691,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Exchange,Avg,0.36,0.403,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ILI,24,,,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ILI,36,,,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ILI,48,,,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ILI,60,,,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ILI,Avg,,,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Solar-Energy,96,0.203,0.237,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Solar-Energy,192,0.233,0.261,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Solar-Energy,336,0.248,0.273,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Solar-Energy,720,0.249,0.275,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
Solar-Energy,Avg,0.233,0.262,iTransformer,wang2025_timemixer,CD,iTransformer (wang2025_timemixer)
ETTm1,96,0.352,0.374,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm1,192,0.374,0.387,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm1,336,0.421,0.414,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm1,720,0.462,0.449,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm1,Avg,0.406,0.407,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm2,96,0.183,0.27,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm2,192,0.255,0.314,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm2,336,0.309,0.347,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm2,720,0.412,0.404,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTm2,Avg,0.29,0.334,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTh1,96,0.46,0.447,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTh1,192,0.477,0.429,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTh1,336,0.546,0.496,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTh1,720,0.544,0.517,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTh1,Avg,0.516,0.484,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
ETTh2,96,0.308,0.355,PatchTST,wang2025_timemixer,CI,PatchTST (wang2025_timemixer)
